id,chain_order,margin_m,names,changes,run_lengths_m,min_run_m,start_m,end_m,length_m,chord_m,ratio,max_offset_m
431,80,50,STRATFORD STREET > MOUNT OLYMPUS DRIVE,1,50.000 > 50.000,50.0,491.40677999212755,591.4067799921276,100.00000000020717,99.01184751472843,1.0099801438947167,5.067963938121866
432,80,100,STRATFORD STREET > MOUNT OLYMPUS DRIVE,1,100.000 > 100.000,100.0,441.40677999212755,641.4067799921276,200.0000000001487,179.86767775865667,1.1119285159644148,36.30995186935224
433,81,25,CRESCENT AVENUE > WEST KENNEDY STREET,1,25.000 > 25.000,25.0,91.10504552615217,141.10504552615217,50.00000000016486,49.573552751366506,1.0086023136356028,2.995992355737659
434,81,50,CRESCENT AVENUE > WEST KENNEDY STREET,1,50.000 > 50.000,50.0,66.10504552615217,166.10504552615217,99.99999999997853,98.63146281163804,1.0138752599761605,7.820789143619073
435,81,100,CRESCENT AVENUE > WEST KENNEDY STREET,1,100.000 > 100.000,100.0,16.105045526152168,216.10504552615217,199.99999999981924,196.7918939407212,1.0163020233956608,17.26205950816136
436,82,25,SPRINGFIELD ROAD > MOUNTAINVIEW AVENUE,1,25.000 > 25.000,25.0,66.11825901824535,116.11825901824535,50.000000000016215,49.999860810353056,1.0000027838010126,0.05898929339789871
437,82,50,SPRINGFIELD ROAD > MOUNTAINVIEW AVENUE,1,50.000 > 50.000,49.999999999999986,41.118259018245354,141.11825901824534,99.99999999998333,99.99972162065482,1.0000027838010346,0.11797858725754658
438,83,25,SHERIDAN DRIVE > RICH STREET,1,25.000 > 25.000,25.0,114.68720570781534,164.68720570781534,50.00000000002616,49.712690165761174,1.0057794062905665,1.1458487963982802
439,83,50,SHERIDAN DRIVE > RICH STREET,1,50.000 > 50.000,50.0,89.68720570781534,189.68720570781534,100.00000000021627,98.92668978176668,1.0108495515296967,2.8170311389500498
440,83,100,SHERIDAN DRIVE > RICH STREET,1,100.000 > 100.000,100.0,39.68720570781534,239.68720570781534,200.00000000009254,192.71196197465682,1.0378182960245828,23.045142650998987
441,84,25,OAKWOOD AVENUE > SOUTH TOWNSEND STREET,1,25.000 > 25.000,25.0,93.26390583660069,143.26390583660069,49.9999999999507,49.66640168946652,1.0067167803411645,2.230627883590108
442,84,50,OAKWOOD AVENUE > SOUTH TOWNSEND STREET,1,50.000 > 50.000,50.0,68.26390583660069,168.26390583660069,99.9999999993214,99.57908478471929,1.0042269439964435,2.258656982148763
443,84,100,OAKWOOD AVENUE > SOUTH TOWNSEND STREET,1,100.000 > 100.000,100.0,18.263905836600685,218.26390583660069,200.00000000012116,199.53393654566017,1.002335760334956,2.2933526676437275
444,85,25,LEAVENWORTH AVENUE > EVANS STREET,1,25.000 > 25.000,25.0,411.2153770658058,461.2153770658058,50.000000000137604,49.70324029523169,1.0059706309516885,1.7752648664714539
445,85,50,LEAVENWORTH AVENUE > EVANS STREET,1,50.000 > 50.000,50.0,386.2153770658058,486.2153770658058,100.00000000051222,86.90662189053903,1.1506603044180523,18.38752077038311
446,85,100,LEAVENWORTH AVENUE > EVANS STREET,1,100.000 > 100.000,100.0,336.2153770658058,536.2153770658058,200.00000000034026,142.47734565381012,1.4037319342423606,61.74585013633824
447,86,25,WEST LAFAYETTE AVENUE > EAST LAFAYETTE AVENUE,1,25.000 > 25.000,25.0,924.6172374806781,974.6172374806781,50.00000000003753,49.930591133739824,1.001390107041028,0.6607705287841922
448,86,50,WEST LAFAYETTE AVENUE > EAST LAFAYETTE AVENUE,1,50.000 > 50.000,50.0,899.6172374806781,999.6172374806781,100.00000000006165,99.89793880086734,1.001021654704986,1.1240966564577823
449,87,25,TRACY STREET > NORTH WEST STREET,1,25.000 > 25.000,25.0,751.2669949088341,801.2669949088341,49.99999999969108,45.11791285955127,1.108207291311045,9.890755241299008
450,87,50,TRACY STREET > NORTH WEST STREET,1,50.000 > 50.000,50.0,726.2669949088341,826.2669949088341,100.00000000033573,87.40124840039834,1.1441484169908032,23.231334253511235
451,87,100,TRACY STREET > NORTH WEST STREET,1,100.000 > 100.000,100.0,676.2669949088341,876.2669949088341,199.99999999960846,172.03563361898154,1.1625498496582483,49.86185962212137
452,88,25,HAYDEN AVENUE > HERKIMER STREET,1,25.000 > 25.000,25.0,314.93121970908396,364.93121970908396,49.99999999987524,44.05714144159595,1.1348897900277393,7.984255704651135
453,88,50,HAYDEN AVENUE > HERKIMER STREET,1,50.000 > 50.000,50.0,289.93121970908396,389.93121970908396,99.99999999975984,76.0489101177145,1.3149432364641644,28.8155944447512
454,88,100,HAYDEN AVENUE > HERKIMER STREET,1,100.000 > 100.000,100.0,239.93121970908396,439.93121970908396,200.0000000001171,147.2632409476897,1.3581121718702385,65.25220326633635
455,89,25,OSWEGO STREET > CONGRESS AVENUE,1,25.000 > 25.000,25.0,740.5579663389387,790.5579663389387,49.9999999999679,49.71530697824929,1.0057264661333212,1.827231291198598
456,89,50,OSWEGO STREET > CONGRESS AVENUE,1,50.000 > 50.000,50.0,715.5579663389387,815.5579663389387,100.00000000013875,96.67610820594437,1.0343817294249542,10.952603553760225
457,89,100,OSWEGO STREET > CONGRESS AVENUE,1,100.000 > 100.000,100.0,665.5579663389387,865.5579663389387,200.00000000024153,189.19856054008454,1.0570904949240802,30.433982907934656
458,90,25,SEARLWYN ROAD > LATTER DRIVE,1,25.000 > 25.000,25.0,395.37309849587666,445.37309849587666,49.99999999977409,44.59683052809555,1.121155907442225,9.778961661451117
459,90,50,SEARLWYN ROAD > LATTER DRIVE,1,50.000 > 50.000,50.0,370.37309849587666,470.37309849587666,99.99999999998009,80.69537669723384,1.239228368375756,27.24179287745387
460,90,100,SEARLWYN ROAD > LATTER DRIVE,1,100.000 > 100.000,100.0,320.37309849587666,520.3730984958767,200.0000000003131,146.56187466342294,1.3646113660841879,64.86088561496342
461,91,25,SPRINGFIELD ROAD > SMITH STREET,1,25.000 > 25.000,25.0,444.7066572188387,494.7066572188387,50.00000000012935,46.973914145988644,1.0644205599885934,8.250260831374366
462,91,50,SPRINGFIELD ROAD > SMITH STREET,1,50.000 > 50.000,50.0,419.7066572188387,519.7066572188387,99.99999999946839,93.92257319079461,1.0647067749765338,16.729346447819594
463,91,100,SPRINGFIELD ROAD > SMITH STREET,1,100.000 > 100.000,100.0,369.7066572188387,569.7066572188387,199.99999999984627,188.23681398796305,1.0624914211129575,33.28498205762254
464,92,25,AUDUBON PARKWAY > NORTHWAY STREET,1,25.000 > 25.000,24.999999999999943,465.8036656493546,515.8036656493546,50.000000000001485,49.05299960908289,1.0193056571150696,4.17432388699435
465,92,50,AUDUBON PARKWAY > NORTHWAY STREET,1,50.000 > 50.000,49.99999999999994,440.8036656493546,540.8036656493546,99.9999999998227,91.59824173144575,1.0917240124871592,16.9075808459633
