order,changes,miles,names,max_join_angle
92,1,0.5685848482408526,AUDUBON PARKWAY > NORTHWAY STREET,10.718404015689543
93,1,0.564112557512466,GAGE COURT > BURT STREET,2.101874279582752
94,1,0.5631150763801102,ONONDAGA CREEK BOULEVARD EAST > VALE STREET,22.36116501247311
95,1,0.5590783899055863,OAKLEY DRIVE EAST > SPAULDING AVENUE,0.8348162358616492
96,1,0.5462191184489922,STINARD AVENUE > CHARMOUTH DRIVE,9.914562537765832
97,1,0.5419981143371404,ROBINSON STREET > SEDGWICK STREET,11.63068197034184
98,1,0.5261050601818578,ERIE BOULEVARD EAST > OSWEGO BOULEVARD,23.151156080678014
99,1,0.521378812242808,SUNRISE DRIVE > SNELL TERRACE,6.184696572531716
100,1,0.5210923956975362,CAMP AVENUE > BARNES AVENUE,24.41087203257061
101,1,0.5177251780167986,DARLINGTON ROAD > DARLINGTON ROAD EAST,0.6629196119578812
102,1,0.5115286581694425,BUTTERNUT STREET > KUHL AVENUE,11.684472432544743
103,1,0.5012943897125395,HIAWATHA PLACE > WILLUMAE DRIVE,17.8210194945176
104,1,0.4967348777023537,EAST BRIGHTON AVENUE > EAST SENECA TURNPIKE,5.696371885495164
105,1,0.4913952553105354,BALLARD AVENUE > FURMAN STREET,20.0515696179062
106,1,0.47965048351206724,BERNIE BLAKE DRIVE > LOOMIS AVENUE,3.161107750368188
107,1,0.46393202340395623,CORAL AVENUE > ATLANTIC AVENUE,15.204312040494393
108,1,0.4352451107910832,HOWARD STREET > GERTRUDE STREET,5.519059706785352
109,1,0.43037049465436844,EAST MATSON AVENUE > WEST MATSON AVENUE,3.7628988950497875
110,1,0.4215451402082324,ELMWOOD AVENUE > EDGEWOOD AVENUE,24.81830573246186
111,1,0.419669953372084,RIEGEL STREET > GREENWAY AVENUE,23.32866651572279
112,1,0.4135138814200265,ALANSON ROAD > ROBINEAU ROAD,8.248102488741223
113,1,0.41079096385530767,RIDGEWOOD DRIVE > NORTHCLIFFE ROAD,18.856097418973967
114,1,0.40928536281434513,PARRISH LANE > HAYES TERRACE,8.593871283954181
115,1,0.40007678731705615,EAST WASHINGTON STREET > LOMBARD AVENUE,26.45813590810332
116,1,0.39463950751520144,BARRINGTON ROAD > BEAUMONT PLACE,23.693107352882908
117,1,0.3937673537630729,EAST ONONDAGA STREET > MONTGOMERY STREET,15.275573369614145
118,1,0.3907497847233812,WEST BEARD AVENUE > EAST BEARD AVENUE,3.3572222969148338
119,1,0.3898201171534537,JASPER PLACE > JASPER STREET,1.1475312526637402
120,1,0.38245490534399823,WHEATON ROAD > DORCHESTER AVENUE,24.81328068703858
121,1,0.3806269459645046,HOUSTON AVENUE > HARVARD PLACE,2.992648067363662
122,1,0.3791316613702636,WEST CORNING AVENUE > EAST CORNING AVENUE,7.756021308298858
123,1,0.37559841156765883,WESTWOOD ROAD > JUNEWAY ROAD,26.605533553648282
124,1,0.3720691529040825,SMITH LANE > MOORE AVENUE,16.820838101844608
125,1,0.3685386435397808,NORTH LORRAINE AVENUE > LORRAINE AVENUE,0.4111349058356734
126,1,0.35390839258402873,HERBST AVENUE > PATTISON STREET,17.43834208945808
127,1,0.3312771250652445,EAST JEFFERSON STREET > WEST JEFFERSON STREET,0.9914012535876574
128,1,0.32843022005276107,MENLO DRIVE > BENNINGTON DRIVE,7.804937798283566
129,1,0.3227445160709519,CUMBERLAND AVENUE > ELLIS STREET,4.229456266203979
130,1,0.3176828467985365,ARCH STREET > CRESLINE DRIVE,0.9702856789232271
131,1,0.30949187894388586,TERRACE ROAD > KENSINGTON ROAD,4.924133915256138
132,1,0.30108627692403256,WEBSTERS LANDING > NORTH FRANKLIN STREET,18.089481876799734
133,1,0.2985885678367234,WEST BISSELL STREET > EAST BISSELL STREET,6.406544057589606
134,1,0.29710355423418505,KINGSLEY PLACE > EMERSON AVENUE,1.3008607770792355
135,1,0.2835139224928604,MANLEY FIELD HOUSE > CHAPPLE WAY,0.3071291146778352
136,1,0.2807882615461705,NORTH GLENCOVE ROAD > GLENCOVE ROAD,2.0548628206632413
137,1,0.2760465245415645,EDISON STREET > SAND STREET,26.863941434130627
138,1,0.26870109028093336,STRATHMORE ROAD > STRATHMORE DRIVE,2.6309177652270908
139,1,0.26573562349917984,DEMONG DRIVE > GIFFORD PARKWAY,24.406525737307174
140,1,0.2512168399040097,DYER COURT > JACKSON STREET,1.4586183392425838
141,1,0.24920140597305632,DEMONG DRIVE > GIFFORD PARKWAY,13.44161470951756
142,1,0.24078298041415544,JULIAN PLACE > NOTTINGHAM ROAD,2.642259927727959
143,1,0.22195790029658005,BUCKINGHAM AVENUE > KENSINGTON ROAD,7.251972657675671
144,1,0.21962096896104355,HUNTINGTON ROAD > INVERNESS PLACE,20.744545154629318
145,1,0.20875937340919185,WINDHAM DRIVE > GUILFORD ROAD,14.641067018772166
146,1,0.20616029957725335,WALLACE STREET > HERALD PLACE,3.02693966547979
147,1,0.20588579397558532,HUGHES PLACE NORTH > HUGHES PLACE,2.5150928292692436
148,1,0.19436919726259774,RADCLIFFE ROAD > DEMONG DRIVE,10.605053912865072
149,1,0.19328373678735067,LARNED STREET > SAFETY LANE,19.60823104376665
150,1,0.1787962192473382,WINTON STREET > SCHULER STREET,14.200178937677052
151,1,0.17741828780959615,MARQUETTE STREET > HUNTER AVENUE,21.20589196476342
152,1,0.16355373431568074,THURGOOD TERRACE > EAST RAYNOR AVENUE,0.8355307282516037
153,1,0.16022883720944894,WINDHAM DRIVE > GUILFORD ROAD,21.06658997200608
154,1,0.15526139555319143,ROCKWOOD PLACE > ROCKWOOD ROAD,15.657608682046165
155,1,0.1501686258154811,RONEY LANE > SMITH LANE,14.140014279347824
156,1,0.1441579686644886,LORETTO ROUNDABOUT > EAST GLEN AVENUE,17.398803849086924
157,1,0.13662951267177698,NOTTINGHAM ROAD > LEWISTON DRIVE,20.747864045258492
158,1,0.1352236798349452,TECUMSEH STREET > TECUMSEH ROAD,1.345338936056007
159,1,0.12523832837347304,WEST LAUREL STREET > EAST LAUREL STREET,0.4192849790007565
160,1,0.11517827999998814,DABLON COURT > RADISSON COURT,2.2061023053522426
161,1,0.11033746017585794,SHOP CITY PLAZA > GRANT TERRACE,6.887283186724578
162,1,0.1066504900913674,EAST DALE STREET > BEACON ROAD,14.241254637159324
163,1,0.08607269631639118,GALE AVENUE > GALE STREET,0.26757033513799994
