name,length_ft,endpoint_a,endpoint_b,intersection_to_intersection,wholly_inside,source_segments,source_ids,lon,lat
COOK AVENUE,43.44422407708247,MELROSE AVENUE,MELROSE AVENUE,True,True,1,477430759,-76.11873375018692,43.064475124419545
WADSWORTH STREET,43.81525705062934,BERKSHIRE AVENUE,BERKSHIRE AVENUE,True,True,1,477428474,-76.13929932126193,43.07574660602007
BROOKFORD ROAD,43.887849004445975,MEADOWBROOK DRIVE,MEADOWBROOK DRIVE,True,True,1,477438014,-76.10485174913607,43.04104012018221
WADSWORTH STREET,44.060112365710204,CADILLAC STREET,CADILLAC STREET,True,True,1,477427208,-76.14608127194035,43.08242814315788
SALT SPRINGS ROAD,44.287491165660185,DEMONG DRIVE,SPRINGFIELD ROAD,True,True,1,482660131,-76.09370389531483,43.04772578669566
RUGBY ROAD,44.29588426576508,SEDGWICK DRIVE,SEDGWICK DRIVE,True,True,1,477430043,-76.13294979440654,43.067652105629946
FAYETTE BOULEVARD,44.331863875361776,AUDUBON PARKWAY,AUDUBON PARKWAY,True,True,1,477435448,-76.09504348728697,43.04934501472001
SUNNYCREST ROAD,44.43338061931233,ERICKSON STREET,ERICKSON STREET,True,True,1,477431283,-76.09606229318629,43.06229810972696
SOUTH SALINA STREET,44.50507866395114,WEST OSTRANDER AVENUE,EAST OSTRANDER AVENUE,True,True,1,477443997,-76.14139231101424,43.014268096521
GRANT BOULEVARD,44.71112399667214,WOODRUFF AVENUE,WOODRUFF AVENUE,True,True,1,477429150,-76.13798177706845,43.07233463108347
WEST MARCELLUS STREET,44.79959716815647,MAGNOLIA STREET,NELSON STREET,True,True,1,477436848,-76.17463347199156,43.04449660603668
AUDUBON PARKWAY,44.835587450190104,DEAD END / SAME-NAME BRANCH,DEAD END / SAME-NAME BRANCH,False,True,1,477435949,-76.0949702620534,43.04841321856438
SEDGWICK DRIVE,45.104516119024034,WENDELL TERRACE,FARMER STREET,True,True,1,477430713,-76.13040529161476,43.06464911457727
VALLEY DRIVE,45.39181400091807,CAMP AVENUE,MARLETT STREET,True,True,1,477444873,-76.15582527358353,43.00816763552286
