name,component,length_ft,full_component_ft,outside_city_ft,wholly_inside,source_segments,source_ids,lon,lat,components_in_city
EAST CORNING AVENUE,1,252.31702516213326,252.31702516213326,0.0,True,1,477443373,-76.14162712569944,43.018869484051436,1
GARFIELD PLACE,1,255.84508306730476,255.84508306730476,0.0,True,1,477441777,-76.14151925676127,43.02764811492529,1
KIRKPATRICK STREET,1,257.04362494935083,257.04362494935083,0.0,True,1,477431138,-76.15749980097277,43.06316560281016,2
PARKVIEW AVENUE,1,258.0040215552982,258.0040215552982,0.0,True,1,477442006,-76.16282279002577,43.02657763247586,1
IRON PIER DRIVE,1,258.9706496272725,258.9706496272725,0.0,True,1,800032497,-76.16817564812968,43.06043046890836,1
SALT SHED DRIVE,1,260.10109569018425,260.10109569018425,0.0,True,1,800032502,-76.16696129787857,43.059685550607966,1
SENECA PLACE,1,261.79817259027345,261.79817259027345,0.0,True,1,477445601,-76.15960675243856,43.00382448599248,1
STONE COURT,1,264.0133708714384,264.0133708714384,0.0,True,1,477436525,-76.16151590461862,43.045859353710206,1
ORANGE ALLEY,1,264.3163926265406,264.3163926265406,0.0,True,1,477435911,-76.14045159698199,43.04793164844415,1
PENTA DRIVE,1,269.1047214506064,269.1047214506064,0.0,True,2,477442780;477442781,-76.13737062317749,43.0225834646698,1
CRIPPEN PLACE,1,269.7432641060675,269.7432641060675,0.0,True,1,477445563,-76.14417780312094,43.004146092116166,1
LONGMEADOW CIRCLE,1,270.89587495824895,270.89587495824895,0.0,True,1,477447068,-76.14640977808814,42.98841161552241,1
PHELPS PLACE,1,271.6101973431252,271.6101973431252,0.0,True,1,477446143,-76.13823728658824,42.99868961038457,1
BELLAIRE PLACE,1,272.9945655960526,272.9945655960526,0.0,True,1,477442575,-76.16287230779737,43.023965596981256,1
KANE ROAD,1,279.37205341311784,279.37205341311784,0.0,True,1,477431578,-76.19779006513757,43.061148671352164,1
ORISKANY DRIVE,1,279.5424090230298,279.5424090230298,0.0,True,1,477442652,-76.13742416800325,43.02316627147238,1
WILSON PLACE,1,279.865291249763,279.865291249763,0.0,True,1,477437916,-76.08377958056383,43.04157556353786,1
WEST END DRIVE,1,280.0617611295658,280.0617611295658,0.0,True,1,477432240,-76.1978913624257,43.058738012684046,1
SNELL TERRACE,1,280.1193972773351,280.1193972773351,0.0,True,1,477446142,-76.13769993192105,42.99900393229562,1
GENANT TO NORTH CLINTON CONNECTOR,1,283.28165022967494,283.28165022967494,0.0,True,1,477430853,-76.16140857600534,43.064366779855746,1
MARCIA STREET,1,284.56701070512145,284.56701070512145,0.0,True,1,477427740,-76.15054231769456,43.0795831382132,1
HIGHLAND PLACE,1,285.8088831167311,285.8088831167311,0.0,True,1,477431917,-76.14174064183781,43.05974770277144,1
SHONNARD STREET,2,286.72318517301085,286.72318517301085,0.0,True,1,477437506,-76.15521068499294,43.04257251324206,2
ARGONNE DRIVE,1,287.29696090910625,287.29696090910625,0.0,True,1,477441944,-76.18030484072821,43.0269085470349,1
ELLEN STREET,1,287.61693633126237,287.61693633126237,0.0,True,1,477427631,-76.15139929839087,43.08019765281489,1
SAND STREET,2,288.5582003400804,288.5582003400804,0.0,True,1,477432903,-76.16760003465103,43.05659682490902,2
SAINT MARYS TERRACE,1,291.74575468455384,291.74575468455384,0.0,True,1,477427682,-76.14733880960115,43.0799886461534,1
WILLISTON AVENUE,1,294.6525931685294,294.6525931685294,0.0,True,2,477429508;477429538,-76.14376716369969,43.070462390401424,1
RANN AVENUE,1,296.6001844104033,296.6001844104033,0.0,True,1,477433906,-76.18641951397198,43.05346617446953,1
BENDER STREET,1,298.7758209340166,298.7758209340166,0.0,True,1,477428319,-76.13589330614995,43.076490635910325,1
WILKIE PLACE,1,300.70730656651597,300.70730656651597,0.0,True,1,477429606,-76.140079281922,43.07020161737771,1
MILFORD COURT,1,304.0993458757618,304.0993458757618,0.0,True,1,477429971,-76.09661849806446,43.06821908649073,1
LANCASTER PLACE,1,304.268914025029,304.268914025029,0.0,True,1,477441805,-76.12263024959998,43.02751863391556,1
DUPLI PARK DRIVE,1,304.6783245327206,304.6783245327206,0.0,True,1,600009003,-76.15727141230307,43.057126866490364,1
LACY PLACE,1,308.9456827818997,308.9456827818997,0.0,True,1,477429483,-76.16146739788334,43.07085874091332,1
EAST GENESEE STREET,2,313.2801397915413,313.2801397915413,0.0,True,2,481561655;800066374,-76.15127654202503,43.050309653418495,3
COSSITT STREET,1,315.01470471574,315.01470471574,0.0,True,1,477446302,-76.15215801335536,42.99629746352387,1
TULLY STREET,2,315.09461212794247,315.09461212794247,0.0,True,2,477436531;800040238,-76.15775668512184,43.04574994654082,2
COMMONWEALTH AVENUE,1,315.84374204350183,315.84374204350183,0.0,True,1,477429370,-76.16300164348996,43.071472774352294,1
EAST DIVISION STREET,2,316.2347452917995,316.2347452917995,0.0,True,2,477430127;477430243,-76.14618489793047,43.06718843604956,2
WEST WATER STREET,1,316.32165380272204,316.32165380272204,0.0,True,1,512620141,-76.1583074907773,43.05014798565385,2
OSWEGO BOULEVARD,1,316.74135678166306,316.74135678166306,0.0,True,1,477434873,-76.1497229724414,43.05124013991645,1
COLDBROOK DRIVE,2,316.83838243690866,316.83838243690866,0.0,True,1,477447074,-76.13991581827386,42.988667934141446,2
SAILE STREET,1,317.19782737666833,317.19782737666833,0.0,True,1,477429403,-76.1425172889761,43.07092510859995,1
EAST LAFAYETTE AVENUE,1,318.1712285285468,318.1712285285468,0.0,True,1,513531417,-76.14190036096741,43.019700747193866,1
FLETCHER AVENUE,2,319.635406922971,319.635406922971,0.0,True,1,477443762,-76.1665029033943,43.01641751626991,2
CROTON TERRACE,1,321.27773936012403,321.27773936012403,0.0,True,1,477439955,-76.14622721946057,43.03508037330944,1
FLORAL PARKWAY,1,323.3675964886662,323.3675964886662,0.0,True,1,477445714,-76.14638588073217,43.00246786417868,1
EASTVIEW AVENUE,1,324.410789650134,324.410789650134,0.0,True,1,477441591,-76.16407681720331,43.02830521839767,1
PLEASANTVIEW AVENUE,2,327.4268923492147,327.4268923492147,0.0,True,1,477429100,-76.13361427152965,43.07299760790285,2
ANGELOU TERRACE,1,329.2815735181619,329.2815735181619,0.0,True,1,477437679,-76.14693623868014,43.0419658696268,1
