name,id,length_ft,fcc,wholly_inside,lon,lat
COLUMBUS AVENUE,800066540,24.692932125366486,A31,True,-76.12155050040431,43.04940367019971
OAK STREET,477430223,24.7912107293499,A41,True,-76.13632378528702,43.06690762523985
EAST ADAMS STREET,506022033,24.820269770211535,A30,True,-76.14261691882166,43.042721870271386
SEYMOUR STREET,800040245,25.000570149019953,A40,True,-76.15764824009251,43.04257426626154
GRANT BOULEVARD,800047552,25.067511222983295,A31,True,-76.11852159955113,43.07013667637611
SIXTH NORTH STREET,800036181,25.09303234745206,A41,True,-76.15879575610828,43.08121844641803
SOUTH GEDDES STREET,800051004,25.16232939082739,A31,True,-76.17310921451985,43.038210474890846
JAMES STREET,477434271,25.266047761600717,A31,True,-76.14886579065904,43.052180626931374
VILLAGE DRIVE,800047550,25.32231931831672,A40,True,-76.11807276440288,43.070664916324134
MONTGOMERY STREET,800066547,25.43368568530318,A40,True,-76.14932023532376,43.050459741046446
MONTGOMERY STREET,477438572,25.54378817800351,A43,True,-76.14877876635201,43.03922863658105
SOUTH MIDLER AVENUE,477454008,25.60802308099364,A31,True,-76.10407884754935,43.053637608296704
SOUTH AVENUE,477443072,25.679168308154665,A31,True,-76.15948174651211,43.02082211739722
ERIE BOULEVARD EAST,477434917,25.819170399972705,A25,True,-76.1449921313918,43.050852368590135
SOUTH SALINA STREET,477438495,25.82463901372102,A33,True,-76.15029728209687,43.03940910382115
EAST TAYLOR STREET,477438426,25.834925380390874,A41,True,-76.14213446269589,43.039519115090066
GREEN STREET,477433232,25.973673633267268,A41,True,-76.13770787445713,43.055423974469804
SOUTH AVENUE,800050947,26.035516726434736,A31,True,-76.15929628257341,43.02468934264985
LYDELL STREET,800051003,26.055656573861413,A41,True,-76.17858777488091,43.0379935872916
BUNKER HILL WAY,477442457,26.070911795278924,A41,True,-76.18294850180797,43.02452439845587
JAMES STREET,800047551,26.075830715694263,A31,True,-76.1064126131655,43.06884941310554
BALLANTYNE ROAD,477444557,26.155821328245523,A41,True,-76.15011754942944,43.0104364622332
SMITH STREET,800066449,26.217606163715118,A41,True,-76.09085984483829,43.055032389331245
MONTGOMERY STREET,800036247,26.256278190715605,A43,True,-76.14877371602338,43.039157652170616
JAMES STREET,477434251,26.290853308079203,A31,True,-76.14878529352585,43.052219615787315
EAST GENESEE STREET,508421667,26.359096678706372,A37,True,-76.14262375929567,43.04733309808419
EAST GENESEE STREET,477437421,26.410251783541693,A31,True,-76.09196928352496,43.04270913657726
EAST WILLOW STREET,477434130,26.518448846666978,A41,True,-76.15058777616956,43.052462602471095
BALLANTYNE ROAD,477444552,26.57072069461719,A41,True,-76.1497388318325,43.010459259062415
SOUTH GEDDES STREET,477438028,26.576732204621404,A31,True,-76.17201733969267,43.04097262337247
NORTH GEDDES STREET,477433139,26.70281240470872,A31,True,-76.17044959087039,43.055597379526766
GRANT BOULEVARD,477429189,27.010928863499196,A31,True,-76.14189779839037,43.07214811885984
EAST ADAMS STREET,509998037,27.010930186472127,A30,True,-76.14573080729971,43.042755076874364
JAMES STREET,477429757,27.04151806144898,A31,True,-76.10003282428114,43.069151123419864
JACKSON STREET,477438195,27.045967299588284,A43,True,-76.14252251693242,43.0404097658814
WENTE TERRACE,800039459,27.101918900621968,A41,True,-76.1580388958491,43.0108076005184
BEAR STREET,477430352,27.184450109814286,A31,True,-76.16377332202002,43.06636109957652
