FID,ID,SPP_COM,SPP_BOT,DBH,AREA,PLANTDATE,CENSUSTRAC,ARPA,ADDRESS,STREET,X,Y,LATITUDE,LONGITUDE,x2,y2
27077,74268,"Crabapple, Spp.",Malus spp.,7,Near Westside,To Be Determined,40,Yes,602,Oswego St,932296.253865999,1108637.66228998,43.041932139,-76.1640368703653,-8478542.05723593,5318357.83781816
27078,74660,"Sycamore, American",Platanus occidentalis,12,Near Westside,Spring 2013,39,Yes,229,Kellogg St,932068.257576008,1107220.12415099,43.038045907,-76.164916162,-8478639.93952707,5317765.92810053
27079,74661,Needs Approval,Planting Site - Needs Approval,0,Near Westside,To Be Determined,39,Yes,221,Kellogg St,932210.132495012,1107357.74282199,43.0384215553,-76.1643829173,-8478580.57899001,5317823.14124008
27080,73857,"Hackberry, Common",Celtis occidentalis,2,Near Westside,Spring 2012,30,Yes,514,Marcellus St,931694.381018,1110102.46329,43.0459593937419,-76.1662610619745,-8478789.6532271,5318971.2661609
27081,74269,"maple, Amur",Acer tataricum ginnala,5,Near Westside,To Be Determined,40,Yes,604,Oswego St,932300.451540005,1108609.32799,43.0418543396,-76.1640216976,-8478540.36821297,5318345.98787045
27082,75494,Needs Approval,Planting Site - Needs Approval,0,Elmwood,N/A,51,Yes,187,Parkway Dr,932696.71191,1102212.22698,43.0242969129596,-76.1626593141846,-8478388.70818585,5315672.12777809
27083,73858,"Hackberry, Common",Celtis occidentalis,2,Near Westside,Spring 2012,30,Yes,516,Marcellus St,931657.683024,1110090.71993,43.0459276732904,-76.1663985648022,-8478804.95997654,5318966.43436779
27084,74662,"Ash, White",Fraxinus americana,33,Near Westside,To Be Determined,39,Yes,219,Kellogg St,932238.507478996,1107394.6303,43.0385223764,-76.1642760927789,-8478568.68733318,5317838.4968518
27085,74270,"Crabapple, Spp.",Malus spp.,7,Near Westside,To Be Determined,40,Yes,608,Oswego St,932301.500958018,1108568.40067998,43.0417420315,-76.1640185368,-8478540.01635332,5318328.88177682
27086,75495,Needs Approval,Planting Site - Needs Approval,0,Elmwood,N/A,51,Yes,185,Parkway Dr,932736.3424,1102219.03847,43.0243150571199,-76.1625109838647,-8478372.19612498,5315674.8905993
27087,75496,"Maple, Boxelder",Acer negundo,8,Elmwood,To Be Determined,51,Yes,159,Parkway Dr,933000.752078,1102246.903655,43.0243878721139,-76.1615216705499,-8478262.06623557,5315685.9781889
27088,73859,"maple, Miyabe",Acer miyabei,4,Near Westside,Spring 2012,30,Yes,831,Fayette St W,931597.98762,1110071.14767,43.0458747855258,-76.1666222444936,-8478829.8598935,5318958.37828577
27089,74663,Needs Approval,Planting Site - Needs Approval,0,Near Westside,N/A,39,Yes,211,Kellogg St,932410.8855,1107585.452,43.0390435784382,-76.1636277483446,-8478496.51394195,5317917.87927752
27090,74271,DNP,Planting site - DNP,0,Near Westside,To Be Determined,40,Yes,610,Oswego St,932304.649212999,1108546.36289,43.0416815224,-76.164007172,-8478538.75122876,5318319.66542051
27091,74664,"Ash, Green",Fraxinus pennsylvanica,24,Near Westside,To Be Determined,39,Yes,205,Kellogg St,932490.335460012,1107653.55202998,43.0392293368,-76.1633292907,-8478463.28977879,5317946.17163966
27092,75497,Butternut,Juglans cinerea,17,Elmwood,To Be Determined,51,Yes,141,Parkway Dr,933093.016813,1102256.811278,43.0244137839368,-76.1611764494959,-8478223.63639143,5315689.92380326
27093,73860,"maple, Miyabe",Acer miyabei,4,Near Westside,Spring 2012,30,Yes,831,Fayette St W,931564.225466,1110058.915,43.0458416821236,-76.1667487732832,-8478843.94501819,5318953.33584289
27094,74272,Serviceberry,Amelanchier grandifolia,4,Near Westside,Spring 2012,40,Yes,612,Oswego St,932300.451539995,1108491.79313999,43.0415318549,-76.1640238937591,-8478540.6126829,5318296.8690482
27095,73861,"hornbeam, American",Carpinus caroliniana,4,Near Westside,Spring 2012,30,Yes,831,Fayette St W,931532.909844,1110077.01935,43.0458917820502,-76.1668655865708,-8478856.94861851,5318960.96726363
27096,74665,"Maple, Silver",Acer saccharinum,45,Near Westside,To Be Determined,39,Yes,201,Kellogg St,932541.410430991,1107706.04574801,43.0393726646,-76.1631372609,-8478441.91311975,5317968.0015574
27097,75498,"Maple, Norway",Acer platanoides,12,Elmwood,To Be Determined,51,Yes,139,Parkway Dr,933114.070511,1102259.90741,43.0244219884934,-76.1610976584744,-8478214.86541228,5315691.17311793
27098,74273,"Crabapple, Spp.",Malus spp.,9,Near Westside,To Be Determined,40,Yes,248,Shonnard St,932349.774202002,1108498.08965,43.0415484548,-76.1638392768,-8478520.06120778,5318299.39742601
27099,73862,Needs Approval,Planting Site - Needs Approval,0,Near Westside,N/A,30,Yes,1001,Fayette St W,931406.424092,1110322.161947,43.0465661095347,-76.1673342154006,-8478909.11616373,5319063.68413025
27100,74666,"Ash, Green",Fraxinus pennsylvanica,20,Near Westside,To Be Determined,39,Yes,119,Kellogg St,932686.122847996,1107849.33941999,43.0397638361,-76.162593273778,-8478381.35672879,5318027.58025818
27101,75499,"Maple, Norway",Acer platanoides,9,Elmwood,To Be Determined,51,Yes,139,Parkway Dr,933135.124209,1102256.811278,43.0244132030067,-76.1610189838932,-8478206.10739505,5315689.83534557
27102,74274,"lilac, Japanese tree",Syringa reticulata,8,Near Westside,To Be Determined,40,Yes,248,Shonnard St,932347.67536499,1108529.57220001,43.0416348634,-76.1638465393,-8478520.8696712,5318312.55861507
27103,73863,"Maple, Norway",Acer platanoides,8,Near Westside,To Be Determined,30,Yes,1001,Fayette St W,931486.473345,1110030.864035,43.0457657760709,-76.1670401583995,-8478876.38187081,5318941.77353902
27104,75500,"Maple, Norway",Acer platanoides,8,Elmwood,To Be Determined,51,Yes,139,Parkway Dr,933125.216586,1102264.861221,43.0244354267008,-76.1610558832386,-8478210.2150129,5315693.21936479
27105,73864,"Maple, Norway",Acer platanoides,5,Near Westside,To Be Determined,30,Yes,1001,Fayette St W,931446.749479,1110015.467188,43.0457240716349,-76.1671890476932,-8478892.95615618,5318935.42096401
27106,74667,"Coffeetree, Kentucky",Gymnocladus dioicus,9,Near Westside,Spring 2013,39,Yes,115,Kellogg St,932749.966560998,1107914.60187999,43.039942021,-76.1623532388889,-8478354.63616003,5318054.71943004
27107,74275,"Maple, Freeman",Acer x freemanii,7,Near Westside,Fall 2011,40,Yes,609,Oswego St,932345.576528001,1108565.25242399,43.0417327893,-76.1638537234127,-8478521.66940217,5318327.47406729
27108,74668,Needs Approval,Planting Site - Needs Approval,0,Near Westside,N/A,39,Yes,111,Kellogg St,932818.066522,1107978.445592,43.040116254026,-76.1620973084342,-8478326.14610439,5318081.25678562
27109,75501,"Maple, Norway",Acer platanoides,12,Elmwood,To Be Determined,51,Yes,139,Parkway Dr,933148.74719,1102264.861221,43.0244351019973,-76.1609678877233,-8478200.41939378,5315693.16992246
27110,73865,"Maple, Red",Acer rubrum,3,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931358.043109,1109989.573797,43.0456542331651,-76.1675213706081,-8478929.95018521,5318924.78291733
27111,74276,"Maple, Freeman",Acer x freemanii,6,Near Westside,Fall 2011,40,Yes,607,Oswego St,932344.52711001,1108587.29020898,43.0417932696,-76.163857237,-8478522.0605338,5318336.68604841
27112,73866,"Maple, Red",Acer rubrum,4,Near Westside,To Be Determined,30,Yes,1003,Fayette St W,931329.335174,1109979.276385,43.0456263699246,-76.1676289552366,-8478941.92645491,5318920.53869196
27113,74669,"Linden, Littleleaf",Tilia cordata,10,Near Westside,To Be Determined,39,Yes,105,Kellogg St,932915.960216005,1108079.17678397,43.0403912856,-76.1617292376,-8478285.17263803,5318123.14685917
27114,75502,"Maple, Norway",Acer platanoides,10,Elmwood,To Be Determined,51,Yes,135,Parkway Dr,933195.18917,1102264.861221,43.0244344609365,-76.1607942123743,-8478181.08593612,5315693.0723087
